2025-11-26 19:38:56,621 - SUCCESS - _ ☀ | HTML_RETR | Allowed to scrape : https://www.environmentallights.com/19072-px-spi-v2.html as per robots.txt
2025-11-26 19:38:59,130 - INFO - --- 🛈 | HTML_RETR | OPENING FILE environmentallights_com/Pixel LED SPI Digital Controller
2025-11-26 19:39:35,625 - INFO ---- 🛈 | HTML_RETR | Starting requests session for Robots.txt
2025-11-26 19:39:35,625 - INFO ---- 🛈 | HTML_RETR | Starting Selenium
2025-11-26 19:39:36,380 - SUCCESS - ☀ | HTML_RETR | Allowed to scrape : https://www.environmentallights.com/19072-px-spi-v2.html as per robots.txt
2025-11-26 19:39:39,025 - INFO ---- 🛈 | HTML_RETR | OPENING FILE environmentallights_com/Pixel LED SPI Digital Controller
2025-11-26 19:40:28,069 - INFO ---- 🛈 | HTML_RETR | Starting requests session for Robots.txt
2025-11-26 19:40:28,069 - INFO ---- 🛈 | HTML_RETR | Starting Selenium
2025-11-26 19:40:28,872 - SUCCESS --☀ | HTML_RETR | Allowed to scrape : https://www.environmentallights.com/19072-px-spi-v2.html as per robots.txt
2025-11-26 19:40:31,469 - INFO ---- 🛈 | HTML_RETR | OPENING FILE environmentallights_com/Pixel LED SPI Digital Controller
2025-11-26 19:41:50,373 - DEBUG- --- ⚕ | __main__ | This is a debug message.
2025-11-26 19:41:50,374 - INFO- --- 🛈 | __main__ | This is an info message.
2025-11-26 19:41:50,374 - SUCCESS- -☀ | __main__ | This is a success message.
2025-11-26 19:41:50,374 - WARNING-  ⚠ | __main__ | This is a warning message.
2025-11-26 19:41:50,374 - ERROR- -- ⚠⚠ | __main__ | This is an error message.
2025-11-26 19:41:50,374 - CRITICAL-   ⛌ ⛌ ⛌   | __main__ | This is a critical message.
2025-11-26 19:41:50,374 - WATCHDOG- ⛨ | __main__ | This is a watchdog message.
2025-11-26 19:41:50,374 - BORDER- -  ⌞ ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ ⌝   | __main__ | This is a border message.
2025-11-26 19:43:00,651 - DEBUG --- ⚕ | __main__ | This is a debug message.
2025-11-26 19:43:00,652 - INFO ---- 🛈 | __main__ | This is an info message.
2025-11-26 19:43:00,652 - SUCCESS --☀ | __main__ | This is a success message.
2025-11-26 19:43:00,652 - WARNING - ⚠ | __main__ | This is a warning message.
2025-11-26 19:43:00,652 - ERROR -- ⚠⚠ | __main__ | This is an error message.
2025-11-26 19:43:00,652 - CRITICAL -  ⛌ ⛌ ⛌   | __main__ | This is a critical message.
2025-11-26 19:43:00,652 - WATCHDOG -⛨ | __main__ | This is a watchdog message.
2025-11-26 19:43:00,652 - BORDER --  ⌞ ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ ⌝   | __main__ | This is a border message.
2025-11-26 19:43:12,004 -DEBUG --- ⚕ | __main__ | This is a debug message.
2025-11-26 19:43:12,005 -INFO ---- 🛈 | __main__ | This is an info message.
2025-11-26 19:43:12,006 -SUCCESS --☀ | __main__ | This is a success message.
2025-11-26 19:43:12,006 -WARNING - ⚠ | __main__ | This is a warning message.
2025-11-26 19:43:12,006 -ERROR -- ⚠⚠ | __main__ | This is an error message.
2025-11-26 19:43:12,006 -CRITICAL -  ⛌ ⛌ ⛌   | __main__ | This is a critical message.
2025-11-26 19:43:12,006 -WATCHDOG -⛨ | __main__ | This is a watchdog message.
2025-11-26 19:43:12,006 -BORDER --  ⌞ ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ ⌝   | __main__ | This is a border message.
2025-11-26 19:43:34,288 - DEBUG -- ⚕ | __main__ | This is a debug message.
2025-11-26 19:43:34,288 - INFO --- 🛈 | __main__ | This is an info message.
2025-11-26 19:43:34,288 - SUCCESS -☀ | __main__ | This is a success message.
2025-11-26 19:43:34,289 - WARNING  ⚠ | __main__ | This is a warning message.
2025-11-26 19:43:34,289 - ERROR - ⚠⚠ | __main__ | This is an error message.
2025-11-26 19:43:34,289 - CRITICAL   ⛌ ⛌ ⛌   | __main__ | This is a critical message.
2025-11-26 19:43:34,289 - WATCHDOG ⛨ | __main__ | This is a watchdog message.
2025-11-26 19:43:34,289 - BORDER -  ⌞ ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ ⌝   | __main__ | This is a border message.
2025-11-26 19:43:55,526 - DEBUG -- ⚕ | __main__ | This is a debug message.
2025-11-26 19:43:55,526 - INFO --- 🛈 | __main__ | This is an info message.
2025-11-26 19:43:55,527 - SUCCESS  ☀ | __main__ | This is a success message.
2025-11-26 19:43:55,527 - WARNING  ⚠ | __main__ | This is a warning message.
2025-11-26 19:43:55,527 - ERROR - ⚠⚠ | __main__ | This is an error message.
2025-11-26 19:43:55,527 - CRITICAL   ⛌ ⛌ ⛌   | __main__ | This is a critical message.
2025-11-26 19:43:55,527 - WATCHDOG ⛨ | __main__ | This is a watchdog message.
2025-11-26 19:43:55,527 - BORDER -  ⌞ ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ ⌝   | __main__ | This is a border message.
2025-11-26 19:44:57,647 - DEBUG -- ⚕ | __main__ | This is a debug message.
2025-11-26 19:44:57,648 - INFO --- 🛈 | __main__ | This is an info message.
2025-11-26 19:44:57,648 - SUCCESS  ☀ | __main__ | This is a success message.
2025-11-26 19:44:57,648 - WARNING  ⚠ | __main__ | This is a warning message.
2025-11-26 19:44:57,648 - ERROR - ⚠⚠ | __main__ | This is an error message.
2025-11-26 19:44:57,648 - CRITICAL   ⛌ ⛌ ⛌   | __main__ | This is a critical message.
2025-11-26 19:44:57,648 - WATCHDOG ⛨ | __main__ | This is a watchdog message.
